ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_AMINABAD,DIV312615,"khatikana ,sbji mandi",404,983,5,58,325688.2,2718694.99,0,0,1041,2,1035,337,983,17,249,0,0,2235839,0,0,12,1041,16,1041,994,751,82.2%,75.6%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_AMINABAD,DIV312615,"rakabganj, maskaganj",433,2158,14,157,709326.52,5972429.46,0,0,2313,6,2304,1241,2152,23,441,0,0,5438067.04,0,0,50,2315,10,2315,2182,1703,91.1%,78.0%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,narhi,91,350,18,72,361066.15,3859047.91,0,6,422,0,415,140,369,15,92,0,0,3695658,1,1,62,422,2,422,380,290,95.8%,76.3%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,sadar bazar,256,1455,12,62,594810.55,5179776.24,2,2,1517,1,1496,610,1465,16,527,1,0,3535526,0,0,76,1517,3,1517,1478,1114,68.3%,75.4%
LKO CENTRAL,EUDC RAJ BHAWAN,EUDD_RAJBHAWAN,DIV312614,shree ram tower,12,234,10,115,282575.66,2987793.09,0,3,349,1,338,183,315,5,85,1,0,2590852,0,0,76,349,0,349,338,213,86.7%,63.0%
LKO CENTRAL,EUDC TALKATORA,EUDD_AISHBAGH,DIV312631,shastri nagar and khajua.,369,1237,14,105,562833.01,4984983.71,0,3,1342,3,1271,555,1211,15,244,1,0,4201413,0,0,84,1329,11,1342,1255,871,84.3%,69.4%
LKO CENTRAL,EUDC TALKATORA,EUDD_RAJAJIPURM,DIV312634,campwell,1396,2932,7,59,966201.6,7939309.49,0,3,2991,14,2897,869,2828,11,577,4,0,6327321,0,0,123,2985,20,2991,2900,2315,79.7%,79.8%
LKO CENTRAL,EUDC TALKATORA,EUDD_RAJAJIPURM,DIV312634,haiderganj,1945,3727,1,56,1113779.83,9269247.58,0,1,3783,25,3601,1149,3609,23,535,2,0,7625619,0,0,92,3764,9,3783,3696,3016,82.3%,81.6%
LKO CENTRAL,EUDC TALKATORA,EUDD_UPTRON,DIV312635,noorbari,7524,10771,223,410,3186885.76,27925756.04,0,1,11153,34,11065,1769,10470,52,988,6,0,23095881.81,1,1,476,11178,4,11181,10652,8845,82.7%,83.0%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"barwaliya,bijwaliya, ratanpur ,sanda saidan",2,1098,2,15,120971.56999999999,911591.47,0,0,1113,26,1006,3,1039,0,129,0,0,260792,164,164,389,1093,50,1113,1095,211,28.6%,19.3%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"dela ,baghaula ,kachanawa 'pure budhai ,sunder ganj ,sadipur kotwa",406,1232,1,18,177780.7,1715671.1199999999,0,1,1250,9,1165,17,939,2,243,0,0,359529,231,231,576,1207,230,1250,1190,166,21.0%,13.9%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"ganeshganj, mohanganj, kithawan, dubahan",4,664,0,14,116320.22,1178840.91,0,1,678,27,653,10,615,0,357,0,0,256419,83,83,221,661,13,678,665,146,21.8%,22.0%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"gudkhet, bilali masjid, naka ,patel nagar ,mahmood nagar,
    lala bajar",28,121,0,2,16244.43,127576.49,0,0,123,2,120,8,112,2,29,0,0,98710,4,4,15,119,3,123,118,46,77.4%,39.0%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"parsadepur chauraha  ,saket nagar 'matiyar ,jilla bajar",43,223,0,4,39528.37,327789.25,0,0,227,4,220,10,182,1,67,0,0,213360,30,30,63,219,28,227,211,70,65.1%,33.2%
RAEBARELI,EDC RAEBARELI-I,EDD MAHARAJGANJ,DIV332733,"rudranagar,prakashnagar, randhawa road,chandapur raoad,bachharawa road,sukhai ka puerwa,chunnu ka purwa,ward no 5,wardno 6,wardno 7,warshi nagar",1478,2296,11,69,642166.17,5761999.7700000005,0,4,2365,20,2318,194,1840,6,122,16,0,4467603.4,39,39,309,2352,35,2365,2215,1120,77.5%,50.6%
RAEBARELI,EDC RAEBARELI-I,EDD RAEBARELI,DIV332731,"prakash nagar, rda complex chauraha, krantipuri, kutchehry road",587,1909,6,147,1028727.57,11195708.07,0,4,2056,14,1934,350,1634,16,400,3,0,7912957.44,0,0,137,2050,1,2056,1896,1374,70.7%,72.5%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"gangaganj,dighaura, harchandpur",1738,5309,0,54,1077135.14,8567188.67,0,8,5363,186,4913,128,3419,12,1082,4,0,4127095,789,789,1886,5363,392,5363,4810,960,48.2%,20.0%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"nakphulha,shahpur,mohammadpur,purwa pindaur",1165,2295,0,15,396367.74,3185347.34,0,0,2310,8,2195,41,1797,2,269,1,0,646840,230,230,547,2310,227,2310,2092,416,20.3%,19.9%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"thulwasa,lodhwamau,hardaspur,gauriganj,",503,3646,0,17,452675.71,3251261.56,0,0,3663,30,3460,130,2713,6,1823,0,0,957292,311,311,1064,3663,613,3663,3410,589,29.4%,17.3%
RAEBARELI,EDC UNNAO,EDD III UNNAO PURWA,DIV332543,asgarganj,0,431,0,3,32923.6,219462.58,0,0,434,1,373,18,348,0,60,0,0,84154,29,29,96,434,2,434,409,77,38.3%,18.8%
RAEBARELI,EDC UNNAO,EDD III UNNAO PURWA,DIV332543,mangat kheda,3,608,0,8,102102.81,714178.62,0,1,616,3,580,74,557,1,180,0,0,566325,12,12,46,616,78,616,599,231,79.3%,38.6%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,fatehpur 84 kasba,1163,2228,0,12,180629.39,1335022.56,0,0,2240,55,2098,15,713,3,145,3,0,704350,75,75,283,2218,8,2240,1208,377,52.8%,31.2%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,ganjmuradabad kasba,6,2950,6,26,487191.29,3755249.39,1,1,2976,18,2786,902,2668,2,904,1,0,2066153,101,101,201,2961,291,2976,2897,1338,55.0%,46.2%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,kursath kasba,1,704,0,3,99446.98999999999,789451.23,0,0,707,5,677,4,398,0,48,1,0,296537,17,17,27,692,19,707,630,228,37.6%,36.2%
RAEBARELI,EDC UNNAO,EDD IV UNNAO BANGARMAU,DIV332544,ugu kasba,249,1073,0,0,104597.5,744709.6,0,0,1073,3,981,278,831,0,183,0,0,358675,9,9,74,1065,24,1073,999,470,48.2%,47.0%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,auras town,11,6846,2,102,1443451.3,9330097.08,0,0,6946,148,6327,817,5325,18,1388,2,0,4614278,1489,1489,2134,6847,844,6948,6651,1085,49.5%,16.3%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,hasanganj tehseel,4,1606,8,48,385049.36,3236705.52,0,0,1654,31,1579,261,945,1,194,3,0,1877220,137,137,370,1645,52,1654,1494,546,58.0%,36.5%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,mohan town,1578,3207,1,45,585391.35,5548261.97,0,1,3252,45,3180,548,2565,4,368,2,0,3810233.63,88,88,317,3223,95,3252,2903,1330,68.7%,45.8%
RAEBARELI,EDC UNNAO,EDD V UNNAO HASANGANJ,DIV332545,nawabganj town,497,2958,3,69,1401423.49,12564780.52,0,1,3027,30,2787,585,2481,8,356,7,0,9336396,149,149,444,3026,202,3027,2902,1204,74.3%,41.5%
RAEBARELI,EDC UNNAO,EDD-PDNAGAR UNNAO,DIV332541,puran nagar,2404,5176,3,55,1105077.66,9188526.76,0,0,5231,26,5134,737,4782,31,773,5,0,7141805.6,11,11,196,5231,0,5231,5110,3270,77.7%,64.0%
SITAPUR,EDC GOLA,EDD III PALIYA,DIV392273,"bheera nagar panchayat area,bank road,main road area",254,3536,7,59,539153.79,5188264.89,0,2,3510,19,3171,209,2496,7,1068,6,0,2305024,552,552,1512,3595,491,3595,3216,573,44.4%,17.8%
SITAPUR,EDC GOLA,EDD III PALIYA,DIV392273,"station chauraha,mela maidan,mela gate,mahigran,ahiran",1609,4082,5,58,776467.05,6443343.94,0,0,4139,8,3863,409,3415,6,818,11,0,3733131,309,309,1310,4140,62,4140,3860,1254,57.9%,32.5%
SITAPUR,EDC HARDOI,EDD HARDOI,DIV392412,atwa,114,337,0,6,102302.41999999998,1010663.4,0,1,343,3,322,18,275,0,23,0,0,841555,94,94,157,297,75,343,325,21,83.3%,6.5%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"chachrapur, adampur, jajwashi, rasulpur, gyanpurwa, baghrayi",169,5482,1,145,537795.56,5649207.64,0,3,5627,29,4949,257,3528,9,1181,4,0,1057993,1915,1915,2642,5597,465,5627,5325,569,18.7%,10.7%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"jarali kala, jarauli newada, parsola, rampur majhiyara, birni, jalalpur, alligarh",77,4889,0,61,613001.66,6534645.98,0,1,4950,4,4495,74,2071,8,208,2,0,730957,1478,1478,2504,4949,1228,4950,4542,397,11.2%,8.7%
SITAPUR,EDC HARDOI,EDD I HARDOI,DIV392411,"selapur, piprawa, khwajgipur, sekhwapur purwi, bhithayi, kazipur, terwa",5,3332,0,39,314094.64,2415522.47,0,4,3371,18,3189,355,2610,3,454,1,0,890342,566,566,890,3371,231,3371,3295,776,36.9%,23.6%
SITAPUR,EDC HARDOI,EDD SANDILA,DIV392414,"atrauli market,beniganj road,ganj market,newada chauraha,bharawan road",7,2061,0,26,276938.14,2444190.76,0,1,2087,41,1982,72,897,2,214,1,0,1638881,650,650,934,2087,430,2087,1892,298,67.1%,15.8%
