ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
AYODHYA ZONE,EDC SULTANPUR,EDD SULTANPUR,DIV324841,"vinobhapuri,panchopeeran,hathiya nala,gola ghat,mazar wali gali,bechu khan ka purwa,katwa,ramteerth nagar,nizampatti,wallipur,kasba,molnapur,gomti nagar",1395,9128,17,184,2706105.33,25601416.26,0,9,9311,406,8825,533,8408,59,0,38,0,10970691.56,2537,2537,4828,6267,854,9312,9174,2104,42.9%,22.9%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"atarsuma  kala,lohangi,tikarmod,sanjay nagar,,, harora bazar,kutta chauraha",7,1208,0,11,138383.3,1173022.59,0,0,1219,61,1194,211,1110,1,0,0,0,346464,202,202,429,1176,168,1219,1212,270,29.5%,22.3%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"baldirai bazar, arwal bazar,aalmau,gaura,,,dehli bazar,baghauna bazar",56,1373,1,18,235418.92,1847189.05,0,0,1366,71,1354,93,1239,6,0,1,0,265051,251,251,620,1373,168,1391,1329,225,14.3%,16.9%
AYODHYA ZONE,EDC SULTANPUR,EDD-BALDIRAI SULTANPUR,DIV324842,"dautpur, aliganj,rawaniya, maniyari,sahabaganj, bhulai ka purva, islam ganj",133,5861,3,86,1172602.34,8839448.72,0,2,5869,210,5744,199,5386,1,0,4,0,1837691.21,1367,1367,2715,5819,1247,5947,5827,1210,20.8%,20.8%
BAREILLY I,EDC BAREILLY,EDD AONLA,DIV341924,nalapar,928,2587,4,39,586550.51,5476272.13,0,1,2619,32,2520,620,2186,8,435,14,0,2181553,86,86,501,2626,6,2626,2480,930,39.8%,37.5%
BAREILLY I,EDC BAREILLY,EDD BAHERI,DIV341923,"noori nagar,noori nagar line par nai basti,mohalla shagarh,mohalla shekhupur,meena bazar,mohalla abbash nagar,mohammadpur,saqlan nagar",592,14741,9,246,3863112.44,31617227.7,0,6,14660,417,14372,5886,13405,7,3095,69,0,18159428.64,288,288,4090,14857,14,14987,14542,5799,57.4%,39.9%
BAREILLY II,EDC BADAUN,EDD BADAUN,DIV381811,"forshori tola, sotha khel, bhandar kuan, zama masjid, jummi chowki,sotha, molvi tola, nagran",1382,2899,2,29,792349.78,6729111.27,0,0,2908,14,2859,283,2479,34,362,7,0,4097766.96,105,105,614,2928,145,2928,2895,1365,60.9%,47.2%
BAREILLY II,EDC BADAUN,EDD II BADAUN,DIV381812,bisauli town,608,5881,8,272,1321698.56,12246769.13,1,10,6127,21,5789,1752,4850,7,1477,8,0,6464336.89,525,525,1730,6147,10,6153,6064,2145,52.8%,35.4%
BAREILLY II,EDC BADAUN,EDD-BISAULI BADAUN,DIV381813,bisauli town,1939,7859,18,178,2187016.05,19838879.77,5,13,8037,49,7283,219,5981,17,2010,12,0,12040395,1592,1592,4280,7997,1176,8037,7814,1637,60.7%,20.9%
BAREILLY II,EDC BADAUN,EDD-BISAULI BADAUN,DIV381813,islamnagar town,708,4817,3,110,919949.86,7003029.24,0,6,4927,24,4515,236,4027,6,2378,1,0,4417662,1232,1232,2402,4845,297,4927,4849,943,63.1%,19.4%
