ZONE,CIRCLE,DIVISION,DIV_CODE_x,area,1ph_sm,1ph_tot,3ph_sm,3ph_tot,CONSUMPTION_CURR_MNTH,CURRENT_ASSESSMENT,HT_sm,HT_tot,billable,idf,mobile_no,mri_billing,mu_billed,neg_inf,ocr_billing,pos_inf,rdf,real,rem_luc,rem_np,slab_abv_10k,tagged,td_cnt,total,total_billed,turn_up,ce%,turn_up %
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"barwaliya,bijwaliya, ratanpur ,sanda saidan",0,1092,0,15,108637.12,1046588.61,0,0,1107,20,999,4,883,0,21,0,0,247381,168,168,379,1087,50,1107,1094,199,23.6%,18.2%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"dela ,baghaula ,kachanawa 'pure budhai ,sunder ganj ,sadipur kotwa",396,1229,0,17,198940.12,1549714.92,0,1,1245,18,1161,25,682,3,11,0,0,461154,232,232,568,1204,230,1246,1164,205,29.8%,17.6%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"ganeshganj, mohanganj, kithawan, dubahan",1,663,0,14,118291.8,1020260.96,0,1,677,18,652,11,482,0,8,0,0,192683,85,85,221,660,14,677,663,134,18.9%,20.2%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"gudkhet, bilali masjid, naka ,patel nagar ,mahmood nagar,
    lala bajar",28,121,0,2,21610.63,129619.67,0,0,123,3,120,19,100,1,3,0,0,133350,4,4,16,119,3,123,119,51,102.9%,42.9%
RAEBARELI,EDC II RAEBARELI,EDD SALON,DIV332751,"parsadepur chauraha  ,saket nagar 'matiyar ,jilla bajar",42,220,0,4,43721.67,389682,0,0,224,2,217,7,143,0,3,0,0,185486,30,30,64,216,28,224,214,67,47.6%,31.3%
RAEBARELI,EDC RAEBARELI-I,EDD MAHARAJGANJ,DIV332733,"rudranagar,prakashnagar, randhawa road,chandapur raoad,bachharawa road,sukhai ka puerwa,chunnu ka purwa,ward no 5,wardno 6,wardno 7,warshi nagar",1438,2293,11,69,754768.1,6595118.36,0,4,2361,24,2312,282,1820,7,84,23,0,3186975,39,39,287,2349,105,2362,2213,791,48.3%,35.7%
RAEBARELI,EDC RAEBARELI-I,EDD RAEBARELI,DIV332731,"prakash nagar, rda complex chauraha, krantipuri, kutchehry road",573,1900,5,147,978834.53,8255469.18,0,4,2047,20,1917,337,1327,10,160,4,0,6869103,0,0,145,2041,1,2047,1717,1177,83.2%,68.5%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"gangaganj,dighaura, harchandpur",1293,5287,0,54,1043528.03,8629460.35,0,8,5341,211,4888,231,2300,11,31,4,0,3542014,790,790,1822,5341,393,5341,5162,839,41.0%,16.3%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"nakphulha,shahpur,mohammadpur,purwa pindaur",1057,2285,0,15,200501.45,1742170.42,0,0,2300,21,2185,40,583,2,14,0,0,584737,232,232,508,2300,227,2300,1783,363,33.6%,20.4%
RAEBARELI,EDC RAEBARELI-I,EDD-TRIPULA RAEBARELI,DIV332732,"thulwasa,lodhwamau,hardaspur,gauriganj,",185,3627,0,17,392298.94,3346486.17,0,0,3644,76,3440,126,2206,4,31,0,0,748806,312,312,1045,3644,615,3644,3542,482,22.4%,13.6%
